ClassID,Packet,Delay (ms)
3,318,2.063
1,319,49.679
2,318,50.811
3,319,2.111
1,320,49.679
2,319,51.013
3,320,2.31
1,321,50.660000000000004
2,320,51.136
3,321,1.711
1,322,50.704
2,321,51.136
3,322,2.7960000000000003
1,323,50.704
2,322,51.697
1,324,51.791000000000004
3,323,2.6630000000000003
2,323,52.167
3,324,2.462
1,325,52.287
2,324,52.726
3,325,3.561
1,326,52.480000000000004
2,325,52.692
3,326,2.9330000000000003
1,327,53.443
2,326,54.276
3,327,3.983
1,328,54.564
2,327,53.214
3,328,4.1690000000000005
1,329,53.644
2,328,54.252
3,329,4.597
1,330,53.941
2,329,54.392
3,330,4.597
1,331,54.226
3,331,4.833
2,330,55.972
1,332,55.387
3,332,4.979
2,331,55.422000000000004
1,333,54.552
3,333,4.821
2,332,54.599000000000004
1,334,55.799
3,334,4.715
2,333,54.575
1,335,56.198
3,335,4.211
2,334,55.611000000000004
1,336,57.047000000000004
3,336,5.229
2,335,55.96
1,337,56.767
3,337,4.191
2,336,55.193
1,338,55.68
2,337,56.254
3,338,4.356
1,339,56.687000000000005
2,338,56.532000000000004
3,339,4.089
1,340,57.865
2,339,57.141
3,340,4.089
1,341,57.382
2,340,58.193
3,341,4.222
1,342,57.584
2,341,57.351
3,342,5.046
1,343,57.999
2,342,56.788000000000004
3,343,5.046
1,344,56.967
2,343,56.687000000000005
3,344,4.354
1,345,56.923
2,344,55.819
3,345,5.737
1,346,56.266
2,345,56.649
3,346,5.803
1,347,56.854
2,346,56.527
1,348,57.077
3,347,5.6000000000000005
2,347,55.754
3,348,6.158
1,349,57.077
2,348,55.754
3,349,6.7
1,350,55.925000000000004
2,349,55.753
3,350,7.809
1,351,56.733000000000004
3,351,7.886
2,350,56.823
1,352,57.485
2,351,56.823
1,353,57.226
3,352,7.734
2,352,57.211
1,354,57.693
3,353,7.793
2,353,57.196
1,355,57.797000000000004
3,354,7.541
2,354,57.313
1,356,57.136
3,355,8.536
2,355,58.028
1,357,58.105000000000004
3,356,8.536
2,356,59.119
1,358,58.358000000000004
3,357,9.316
2,357,59.087
1,359,58.139
3,358,9.38
2,358,58.414
1,360,58.958
3,359,10.429
2,359,59.141
1,361,59.207
3,360,10.578
2,360,59.542
1,362,59.506
3,361,10.333
1,363,59.506
2,361,60.22
3,362,0.029
1,364,59.781
2,362,60.534
3,363,0.021
1,365,60.335
2,363,59.246
3,364,0.02
1,366,60.202
2,364,60.204
3,365,1.624
1,367,60.688
2,365,61.19
3,366,0.888
1,368,62.555
2,366,61.19
3,367,1.227
1,369,62.296
2,367,61.138
3,368,2.031
1,370,62.889
2,368,62.29
3,369,1.837
2,369,63.047000000000004
1,371,63.441
3,370,1.183
2,370,63.469
1,372,63.698
3,371,0.025
1,373,63.589
2,371,63.036
1,374,64.33500000000001
2,372,64.278
3,372,2.896
1,375,64.33500000000001
2,373,64.604
3,373,0.023
1,376,65.414
2,374,64.604
3,374,0.036000000000000004
1,377,65.669
2,375,63.413000000000004
3,375,0.01
2,376,64.218
1,378,65.152
3,376,3.039
2,377,64.423
1,379,65.754
3,377,0.332
1,380,65.754
2,378,64.426
3,378,0.678
1,381,65.648
2,379,64.845
3,379,1.04
1,382,66.47200000000001
2,380,65.043
3,380,1.423
1,383,66.721
2,381,65.702
3,381,2.829
1,384,67.566
2,382,65.702
3,382,2.839
1,385,67.865
2,383,66.215
3,383,2.805
1,386,67.686
2,384,67.018
3,384,3.207
1,387,67.935
2,385,67.476
3,385,3.8240000000000003
1,388,69.737
2,386,67.181
3,386,3.321
2,387,67.729
1,389,70.337
3,387,3.336
2,388,68.373
1,390,70.274
3,388,4.035
2,389,68.462
1,391,69.686
3,389,4.035
1,392,70.828
2,390,67.506
3,390,4.698
2,391,68.414
1,393,69.376
3,391,4.312
2,392,69.241
1,394,70.71300000000001
3,392,4.275
2,393,68.883
1,395,70.408
3,393,2.99
2,394,69.102
1,396,71.70100000000001
3,394,3.9170000000000003
2,395,69.365
1,397,72.269
3,395,3.9570000000000003
2,396,69.513
1,398,71.935
3,396,3.9130000000000003
2,397,70.078
3,397,3.9130000000000003
1,399,72.467
3,398,4.414
2,398,70.71600000000001
1,400,72.797
2,399,71.115
1,401,72.955
3,399,5.14
2,400,72.543
1,402,72.955
3,400,5.261
2,401,71.273
1,403,72.572
3,401,5.261
1,404,72.532
2,402,72.932
3,402,5.1930000000000005
2,403,72.968
1,405,73.119
3,403,4.999
1,406,73.119
2,404,73.257
3,404,4.352
1,407,73.741
2,405,72.46000000000001
3,405,4.352
1,408,73.741
2,406,72.206
3,406,4.614
1,409,73.273
2,407,70.892
3,407,5.791
1,410,71.739
2,408,72.22200000000001
3,408,6.049
1,411,72.471
2,409,72.254
3,409,5.531
2,410,72.09
1,412,72.623
3,410,6.1370000000000005
1,413,72.502
2,411,72.402
3,411,5.448
1,414,72.848
2,412,72.431
3,412,6.114
2,413,72.431
1,415,73.186
3,413,6.675
1,416,73.342
2,414,72.383
3,414,7.6080000000000005
1,417,73.923
2,415,72.435
3,415,7.619
1,418,73.382
2,416,72.953
3,416,8.166
1,419,73.905
2,417,72.272
3,417,7.567
1,420,74.22500000000001
2,418,72.272
3,418,7.208
3,419,7.591
1,421,73.737
2,419,73.398
1,422,75.151
3,420,7.896
2,420,72.203
1,423,74.462
2,421,73.758
3,421,9.06
1,424,75.233
2,422,73.824
3,422,8.988
1,425,75.357
2,423,73.155
3,423,8.425
1,426,75.672
2,424,73.506
3,424,8.425
2,425,73.506
3,425,8.425
2,426,73.506
3,426,8.425
2,427,73.506
3,427,8.425
1,427,75.672
2,428,88.46900000000001
3,428,12.006
1,428,77.754
2,429,74.467
3,429,10.648
1,429,75.20100000000001
2,430,74.467
3,430,11.776
1,430,76.921
2,431,74.383
3,431,0.022
1,431,76.502
2,432,74.865
3,432,0.022
1,432,76.406
2,433,74.986
3,433,0.28600000000000003
1,433,76.756
