I,L,Q
1,227,248691.0
3,225,230702.0
1,228,250001.0
2,226,241663.0
3,226,230702.0
1,229,252296.0
3,227,232458.0
2,227,242885.0
3,228,233647.0
1,230,253410.0
2,228,242885.0
3,229,235235.0
1,231,253410.0
2,229,243974.0
3,230,237638.0
1,232,254179.0
2,230,246788.0
1,233,256054.0
3,231,238851.0
2,231,248585.0
2,232,249914.0
3,232,240190.0
1,234,258517.0
1,235,259217.0
3,233,241665.0
2,233,251214.0
2,234,252239.0
3,234,241665.0
1,236,260372.0
1,237,261740.0
3,235,243258.0
2,235,254118.0
1,238,274555.0
2,236,262928.0
3,236,251759.0
1,239,265082.0
2,237,256831.0
3,237,247122.0
1,240,265717.0
2,238,257876.0
3,238,248731.0
1,241,266716.0
2,239,259090.0
3,239,250637.0
1,242,269945.0
2,240,270091.0
3,240,257311.0
1,243,269945.0
3,241,251895.0
2,241,259410.0
1,244,271515.0
3,242,255896.0
2,242,263640.0
1,245,273841.0
3,243,257711.0
2,243,265665.0
1,246,274534.0
2,244,267986.0
3,244,260993.0
1,247,277042.0
2,245,269703.0
3,245,260993.0
1,248,279512.0
2,246,269703.0
3,246,261288.0
1,249,281105.0
2,247,271138.0
3,247,261717.0
2,248,273294.0
1,250,282694.0
3,248,263884.0
2,249,274350.0
3,249,265063.0
1,251,285246.0
2,250,276442.0
1,252,285993.0
3,250,267481.0
1,253,285993.0
2,251,276442.0
3,251,268504.0
1,254,288955.0
2,252,278816.0
3,252,270880.0
1,255,288955.0
2,253,281272.0
3,253,272829.0
2,254,284791.0
1,256,290887.0
3,254,273915.0
3,255,271138.0
1,257,294149.0
2,255,285140.0
3,256,277341.0
1,258,295026.0
2,256,281648.0
3,257,276880.0
2,257,286633.0
1,259,293319.0
3,258,276880.0
2,258,286848.0
1,260,297249.0
2,259,286848.0
3,259,265685.0
1,261,298773.0
2,260,277043.0
1,262,287980.0
3,260,266645.0
3,261,266512.0
2,261,278365.0
1,263,288641.0
3,262,269925.0
2,262,277608.0
1,264,288641.0
3,263,265021.0
2,263,281374.0
1,265,288956.0
2,264,276123.0
3,264,267981.0
1,266,291038.0
2,265,277376.0
3,265,260211.0
1,267,287369.0
2,266,270033.0
3,266,257479.0
1,268,287884.0
2,267,266523.0
3,267,257479.0
1,269,283731.0
2,268,266523.0
3,268,258466.0
1,270,281176.0
2,269,269383.0
3,269,262762.0
1,271,281416.0
3,270,265154.0
2,270,274576.0
1,272,284798.0
2,271,275292.0
3,271,266838.0
1,273,284798.0
2,272,276405.0
3,272,263108.0
1,274,286702.0
3,273,267233.0
2,273,276718.0
1,275,287782.0
3,274,262726.0
2,274,278269.0
1,276,286144.0
3,275,265645.0
2,275,274900.0
1,277,286891.0
2,276,276375.0
3,276,265645.0
1,278,285074.0
1,279,287751.0
2,277,276375.0
3,277,265340.0
1,280,287751.0
2,278,276102.0
3,278,267105.0
1,281,286405.0
2,279,277991.0
3,279,269484.0
1,282,288686.0
2,280,280941.0
3,280,271058.0
2,281,280851.0
3,281,273335.0
1,283,290255.0
2,282,282534.0
3,282,274341.0
1,284,292557.0
2,283,284677.0
3,283,276242.0
1,285,292781.0
2,284,286803.0
3,284,276242.0
1,286,296127.0
2,285,288337.0
3,285,277952.0
1,287,296625.0
3,286,278048.0
1,288,297653.0
2,286,288337.0
3,287,280082.0
2,287,288868.0
1,289,299063.0
3,288,280405.0
2,288,290318.0
1,290,299947.0
2,289,290318.0
3,289,282249.0
1,291,300180.0
3,290,283614.0
1,292,300180.0
2,290,292387.0
3,291,284857.0
2,291,294710.0
1,293,301680.0
2,292,295374.0
3,292,286133.0
1,294,303479.0
3,293,289204.0
2,293,297244.0
1,295,304489.0
3,294,289632.0
1,296,306251.0
2,294,298831.0
3,295,289632.0
1,297,309094.0
2,295,300595.0
3,296,290457.0
1,298,310392.0
2,296,301435.0
3,297,292795.0
1,299,310914.0
2,297,301435.0
3,298,293960.0
1,300,310914.0
2,298,303096.0
1,301,313486.0
3,299,295040.0
2,299,304117.0
1,302,313486.0
3,300,295916.0
2,300,305669.0
1,303,315386.0
3,301,300395.0
2,301,307219.0
1,304,316584.0
3,302,300978.0
2,302,308111.0
3,303,301104.0
1,305,317026.0
2,303,310295.0
3,304,301807.0
1,306,319511.0
2,304,312409.0
1,307,321446.0
3,305,301807.0
2,305,312644.0
1,308,321446.0
3,306,304020.0
2,306,314344.0
1,309,324630.0
3,307,306259.0
2,307,317788.0
1,310,325144.0
3,308,307412.0
2,308,317788.0
1,311,327487.0
3,309,308588.0
2,309,318994.0
1,312,328981.0
3,310,310166.0
2,310,318994.0
1,313,328733.0
3,311,311747.0
2,311,321110.0
1,314,332040.0
3,312,313644.0
2,312,322599.0
1,315,332273.0
3,313,313106.0
2,313,324829.0
1,316,333576.0
3,314,315740.0
2,314,324691.0
1,317,334434.0
3,315,315740.0
2,315,325210.0
1,318,334434.0
2,316,326437.0
3,316,316745.0
1,319,337320.0
2,317,326437.0
3,317,314322.0
1,320,336383.0
2,318,324505.0
3,318,315560.0
1,321,334355.0
2,319,326376.0
3,319,317394.0
1,322,335704.0
2,320,327266.0
3,320,319446.0
1,323,338237.0
2,321,329691.0
3,321,321139.0
1,324,339618.0
2,322,331079.0
3,322,323294.0
1,325,342558.0
3,323,322908.0
2,323,332504.0
3,324,322908.0
1,326,342490.0
2,324,332866.0
3,325,325580.0
2,325,332866.0
1,327,344291.0
3,326,328115.0
1,328,345253.0
2,326,334553.0
3,327,329726.0
1,329,345253.0
2,327,336865.0
3,328,329949.0
2,328,339013.0
1,330,347531.0
3,329,327224.0
1,331,348592.0
2,329,341919.0
2,330,337578.0
3,330,331037.0
1,332,352993.0
1,333,349493.0
2,331,339792.0
3,331,332634.0
3,332,332634.0
2,332,340589.0
1,334,352791.0
2,333,340589.0
1,335,354218.0
3,333,333639.0
1,336,354602.0
2,334,343692.0
3,334,337237.0
3,335,337237.0
2,335,345336.0
1,337,356726.0
3,336,338939.0
1,338,357768.0
2,336,346885.0
3,337,339520.0
1,339,359329.0
2,337,346885.0
3,338,341999.0
1,340,359329.0
2,338,347249.0
1,341,361295.0
3,339,343265.0
2,339,347731.0
2,340,351506.0
3,340,339642.0
1,342,365238.0
1,343,363898.0
3,341,344602.0
2,341,346362.0
1,344,365279.0
3,342,345957.0
2,342,351869.0
3,343,348111.0
1,345,365279.0
2,343,354054.0
3,344,348863.0
1,346,366740.0
2,344,355326.0
1,347,369104.0
3,345,348138.0
2,345,356605.0
3,346,348138.0
2,346,357797.0
1,348,371047.0
3,347,348138.0
2,347,357797.0
1,349,371047.0
3,348,348138.0
1,350,371047.0
2,348,357797.0
3,349,355173.0
1,351,377130.0
2,349,363970.0
3,350,357806.0
1,352,375625.0
2,350,365870.0
3,351,359511.0
1,353,377597.0
2,351,369454.0
1,354,380164.0
3,352,360071.0
2,352,371094.0
3,353,360071.0
2,353,371038.0
1,355,380965.0
1,356,381351.0
3,354,362763.0
2,354,372133.0
3,355,369106.0
2,355,376720.0
1,357,386123.0
3,356,369106.0
2,356,378289.0
1,358,387226.0
3,357,370434.0
2,357,380621.0
1,359,388947.0
3,358,372276.0
2,358,380621.0
1,360,390407.0
3,359,372670.0
2,359,381396.0
1,361,392512.0
3,360,373195.0
2,360,383610.0
1,362,393192.0
3,361,376083.0
2,361,384278.0
1,363,393192.0
3,362,376498.0
2,362,385628.0
1,364,395271.0
3,363,370469.0
2,363,387731.0
1,365,396278.0
3,364,370469.0
2,364,382181.0
1,366,397374.0
3,365,374357.0
2,365,382181.0
1,367,393653.0
3,366,374357.0
2,366,382181.0
1,368,393653.0
3,367,374357.0
2,367,382181.0
1,369,393653.0
3,368,374357.0
2,368,382181.0
1,370,393653.0
2,369,382181.0
3,369,374357.0
1,371,393653.0
3,370,374357.0
2,370,382181.0
1,372,393653.0
3,371,374357.0
2,371,382181.0
1,373,393653.0
3,372,374357.0
2,372,382181.0
1,374,393653.0
3,373,374357.0
2,373,382181.0
1,375,393653.0
3,374,374357.0
2,374,382181.0
1,376,393653.0
3,375,374357.0
2,375,382181.0
1,377,393653.0
3,376,367850.0
2,376,395201.0
1,378,407507.0
3,377,367691.0
2,377,377863.0
1,379,405717.0
2,378,377542.0
3,378,369501.0
1,380,385874.0
3,379,369501.0
2,379,377235.0
1,381,387165.0
3,380,371145.0
2,380,380273.0
1,382,389293.0
3,381,372231.0
1,383,392391.0
2,381,381937.0
3,382,373355.0
1,384,392374.0
2,382,381937.0
3,383,374755.0
2,383,383499.0
1,385,392374.0
3,384,376070.0
1,386,394122.0
2,384,386050.0
3,385,375591.0
1,387,396216.0
2,385,387077.0
3,386,347513.0
1,388,396247.0
2,386,386862.0
3,387,347513.0
2,387,356664.0
1,389,397333.0
2,388,356664.0
3,388,347513.0
1,390,397333.0
3,389,347513.0
2,389,356664.0
1,391,397333.0
3,390,347513.0
2,390,356664.0
1,392,397333.0
3,391,347513.0
2,391,356664.0
1,393,397333.0
3,392,347513.0
1,394,397333.0
2,392,356664.0
3,393,347513.0
1,395,397333.0
2,393,356664.0
1,396,397333.0
3,394,347513.0
2,394,356664.0
1,397,397333.0
3,395,347513.0
2,395,356664.0
1,398,397333.0
3,396,347513.0
2,396,356664.0
1,399,397333.0
3,397,347513.0
2,397,356664.0
1,400,397333.0
3,398,347513.0
2,398,356664.0
1,401,397333.0
3,399,347513.0
2,399,356664.0
3,400,347513.0
1,402,397333.0
2,400,356664.0
1,403,397333.0
3,401,347513.0
2,401,356664.0
3,402,347513.0
1,404,397333.0
1,405,397333.0
2,402,380906.0
3,403,367398.0
3,404,369642.0
1,406,528456.0
2,403,378694.0
3,405,370838.0
1,407,385465.0
2,404,378530.0
3,406,370838.0
1,408,385877.0
2,405,380398.0
3,407,371752.0
1,409,388515.0
2,406,381007.0
3,408,373510.0
1,410,391002.0
2,407,381007.0
3,409,374418.0
1,411,391840.0
2,408,382359.0
3,410,374418.0
1,412,391840.0
2,409,382359.0
1,413,391840.0
3,411,374418.0
2,410,382359.0
3,412,374418.0
1,414,391840.0
2,411,382359.0
3,413,374418.0
1,415,391840.0
2,412,382359.0
1,416,391840.0
2,413,382359.0
3,414,374418.0
1,417,391840.0
2,414,382359.0
3,415,374418.0
1,418,391840.0
2,415,382359.0
3,416,374418.0
2,416,382359.0
1,419,391840.0
3,417,374418.0
3,418,374418.0
1,420,391840.0
2,417,382359.0
3,419,374418.0
1,421,391840.0
2,418,382359.0
1,422,391840.0
3,420,374418.0
2,419,382359.0
2,420,382359.0
1,423,391840.0
3,421,374418.0
3,422,374418.0
2,421,382359.0
1,424,391840.0
3,423,374418.0
1,425,391840.0
2,422,382359.0
3,424,374418.0
2,423,382359.0
1,426,391840.0
2,424,382359.0
3,425,374418.0
1,427,391840.0
2,425,382359.0
3,426,374418.0
1,428,391840.0
2,426,382359.0
3,427,374418.0
1,429,391840.0
1,430,391840.0
2,427,382359.0
3,428,374418.0
1,431,391840.0
2,428,382359.0
3,429,374418.0
1,432,391840.0
3,430,374418.0
2,429,382359.0
1,433,391840.0
3,431,374418.0
2,430,382359.0
1,434,391840.0
2,431,382359.0
3,432,374418.0
3,433,383004.0
1,435,453274.0
2,432,392085.0
3,434,383004.0
1,436,453274.0
2,433,392085.0
1,437,453274.0
2,434,392085.0
3,435,383004.0
1,438,453274.0
2,435,392085.0
3,436,383004.0
2,436,392085.0
3,437,383004.0
1,439,453274.0
1,440,453274.0
2,437,392085.0
3,438,383004.0
1,441,453274.0
3,439,383004.0
2,438,392085.0
1,442,453274.0
2,439,392085.0
3,440,383004.0
1,443,453274.0
2,440,392085.0
3,441,383004.0
1,444,453274.0
2,441,392085.0
3,442,383004.0
1,445,453274.0
3,443,383004.0
2,442,392085.0
1,446,453274.0
2,443,392085.0
3,444,383004.0
1,447,453274.0
3,445,383004.0
2,444,392085.0
1,448,453274.0
3,446,383004.0
2,445,392085.0
1,449,453274.0
3,447,383004.0
2,446,392085.0
1,450,453274.0
2,447,392085.0
3,448,383004.0
1,451,453274.0
2,448,392085.0
3,449,383004.0
1,452,453274.0
2,449,392085.0
3,450,383004.0
1,453,453274.0
2,450,392085.0
3,451,383004.0
1,454,453274.0
2,451,392085.0
3,452,383004.0
3,453,383004.0
1,455,453274.0
2,452,392085.0
1,456,453274.0
2,453,392085.0
3,454,383004.0
3,455,383004.0
1,457,453274.0
2,454,392085.0
3,456,383004.0
1,458,453274.0
2,455,392085.0
1,459,453274.0
2,456,392085.0
3,457,383004.0
1,460,453274.0
2,457,392085.0
3,458,383004.0
1,461,453274.0
2,458,392085.0
3,459,383004.0
1,462,453274.0
2,459,392085.0
3,460,383004.0
1,463,453274.0
2,460,392085.0
3,461,383004.0
1,464,453274.0
3,462,435024.0
2,461,705626.0
1,465,453274.0
3,463,408863.0
2,462,409681.0
1,466,695693.0
3,464,408863.0
2,463,409681.0
1,467,695693.0
3,465,408863.0
2,464,409681.0
1,468,695693.0
3,466,408863.0
2,465,409681.0
1,469,695693.0
3,467,408863.0
2,466,409681.0
1,470,695693.0
3,468,408863.0
2,467,409681.0
1,471,695693.0
3,469,408863.0
2,468,409681.0
1,472,695693.0
2,469,409681.0
3,470,408863.0
1,473,695693.0
2,470,409681.0
3,471,408863.0
1,474,695693.0
2,471,409681.0
3,472,408863.0
1,475,695693.0
3,473,408863.0
2,472,409681.0
1,476,695693.0
2,473,409681.0
3,474,408863.0
3,475,408863.0
1,477,695693.0
2,474,409681.0
1,478,695693.0
2,475,409681.0
3,476,408863.0
1,479,695693.0
2,476,409681.0
3,477,408863.0
1,480,695693.0
2,477,409681.0
3,478,408863.0
1,481,695693.0
3,479,408863.0
2,478,409681.0
1,482,695693.0
3,480,408863.0
2,479,409681.0
1,483,695693.0
2,480,409681.0
3,481,408863.0
3,482,408863.0
1,484,695693.0
2,481,409681.0
2,482,409681.0
3,483,408863.0
1,485,695693.0
1,486,695693.0
2,483,409681.0
3,484,408863.0
1,487,695693.0
2,484,409681.0
3,485,408863.0
1,488,695693.0
3,486,408863.0
2,485,409681.0
1,489,695693.0
3,487,408863.0
2,486,409681.0
1,490,695693.0
3,488,408863.0
2,487,409681.0
1,491,695693.0
3,489,408863.0
2,488,409681.0
3,490,408863.0
1,492,695693.0
2,489,409681.0
3,491,564960.0
1,493,695693.0
2,490,409681.0
3,492,446578.0
1,494,854231.0
2,491,448688.0
3,493,446578.0
1,495,854231.0
2,492,448688.0
1,496,854231.0
3,494,446578.0
2,493,448688.0
1,497,854231.0
3,495,446578.0
2,494,448688.0
3,496,446578.0
1,498,854231.0
2,495,448688.0
3,497,446578.0
1,499,854231.0
2,496,448688.0
1,500,854231.0
3,498,446578.0
2,497,448688.0
1,501,854231.0
2,498,448688.0
3,499,446578.0
1,502,854231.0
3,500,446578.0
3,501,446578.0
1,503,854231.0
2,499,448688.0
3,502,446578.0
1,504,854231.0
2,500,448688.0
1,505,854231.0
3,503,446578.0
2,501,448688.0
1,506,854231.0
3,504,446578.0
2,502,448688.0
1,507,854231.0
2,503,448688.0
3,505,446578.0
1,508,854231.0
3,506,446578.0
2,504,448688.0
1,509,854231.0
2,505,448688.0
3,507,446578.0
1,510,854231.0
3,508,446578.0
2,506,448688.0
3,509,446578.0
1,511,854231.0
2,507,448688.0
2,508,448688.0
3,510,446578.0
1,512,854231.0
2,509,448688.0
3,511,446578.0
1,513,854231.0
1,514,854231.0
3,512,446578.0
2,510,448688.0
1,515,854231.0
3,513,446578.0
2,511,448688.0
1,516,854231.0
3,514,446578.0
2,512,448688.0
1,517,854231.0
3,515,446578.0
2,513,448688.0
1,518,854231.0
3,516,903295.0
2,514,448688.0
3,517,425048.0
1,519,854231.0
2,515,791805.0
2,516,791805.0
3,518,425048.0
1,520,854231.0
